,currency,discount,ean,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,store brand,store name,store id
20023638,DKK,6,20023638,2020-04-19T22:00:00.000Z,2020-04-17T13:22:26.000Z,6,12,50,2020-04-14T09:55:51.000Z,27,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20020408,DKK,49,20020408,2020-04-19T22:00:00.000Z,2020-04-17T13:22:26.000Z,30,79,62.03,2020-04-07T11:24:17.000Z,49,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20023744,DKK,14,20023744,2020-04-19T22:00:00.000Z,2020-04-17T14:07:29.000Z,25,39,35.9,2020-04-14T09:59:20.000Z,38,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20026097,DKK,10,20026097,2020-04-23T22:00:00.000Z,2020-04-17T14:52:32.000Z,10,20,50,2020-04-16T13:28:17.000Z,9,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025182,DKK,4,20025182,2020-04-23T22:00:00.000Z,2020-04-17T14:52:32.000Z,5,9,44.44,2020-04-14T12:17:39.000Z,2,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20020439,DKK,7,20020439,2020-04-19T22:00:00.000Z,2020-04-17T15:37:45.000Z,3,10,70,2020-04-07T11:24:58.000Z,64,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025595,DKK,2,20025595,2020-04-19T22:00:00.000Z,2020-04-17T16:07:44.000Z,3,5,40,2020-04-16T05:30:41.000Z,37,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20026233,DKK,5,20026233,2020-04-23T22:00:00.000Z,2020-04-17T17:07:55.000Z,7,12,41.67,2020-04-16T13:31:28.000Z,16,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025694,DKK,10,20025694,2020-04-19T22:00:00.000Z,2020-04-17T17:22:47.000Z,15,25,40,2020-04-16T05:33:49.000Z,35,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20026271,DKK,6,20026271,2020-04-23T22:00:00.000Z,2020-04-17T18:37:57.000Z,10,16,37.5,2020-04-16T13:32:23.000Z,18,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025618,DKK,14,20025618,2020-04-19T22:00:00.000Z,2020-04-17T19:53:01.000Z,15,29,48.28,2020-04-16T05:31:05.000Z,86,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025762,DKK,25,20025762,2020-04-19T22:00:00.000Z,2020-04-18T08:48:47.000Z,30,55,45.45,2020-04-16T05:35:23.000Z,44,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025779,DKK,12.95,20025779,2020-04-21T22:00:00.000Z,2020-04-18T09:03:51.000Z,15,27.95,46.33,2020-04-16T09:19:17.000Z,78,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025625,DKK,14,20025625,2020-04-19T22:00:00.000Z,2020-04-18T09:33:46.000Z,15,29,48.28,2020-04-16T05:31:20.000Z,81,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20023645,DKK,6,20023645,2020-04-19T22:00:00.000Z,2020-04-18T10:18:56.000Z,6,12,50,2020-04-14T09:56:06.000Z,48,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20020392,DKK,49,20020392,2020-04-19T22:00:00.000Z,2020-04-18T10:18:56.000Z,30,79,62.03,2020-04-07T11:24:01.000Z,40,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025755,DKK,20,20025755,2020-04-19T22:00:00.000Z,2020-04-18T10:33:56.000Z,30,50,40,2020-04-16T05:35:11.000Z,40,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20023799,DKK,8,20023799,2020-04-19T22:00:00.000Z,2020-04-18T10:49:01.000Z,12,20,40,2020-04-14T10:00:26.000Z,89,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20023836,DKK,10,20023836,2020-04-19T22:00:00.000Z,2020-04-18T10:49:01.000Z,20,30,33.33,2020-04-14T10:01:23.000Z,63,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
hello 
hi 1234567
